501,461,0.62027,53.119
511,461,0.54329,65.228
521,81,0.59347,459.58
531,131,0.40568,386.88
541,531,0.35882,11.456
551,411,0.39127,101.19
561,421,0.32751,102.48
571,111,0.29152,367.6
581,101,0.30674,368.94
591,101,0.29002,358.01
601,171,0.35598,266.66
611,141,0.36962,290.13
621,131,0.39844,292.35
631,61,0.39608,367.63
641,121,0.39307,293.25
651,81,0.40992,333.36
661,171,0.48992,233.04
671,161,0.48208,238.84
681,191,0.4361,211.19
691,91,0.38836,302.17
701,411,0.40645,227.61
711,131,0.39457,253.1
721,171,0.38922,224.41
731,381,0.39685,237.04
741,191,0.37531,235.57
751,421,0.42869,264.1
761,751,0.40507,11.857
771,161,0.37888,288.85
781,131,0.34343,323.63
791,121,0.2772,344.06
801,201,0.25073,301.18
811,121,0.27728,368.27
821,121,0.36535,378.45
831,191,0.34853,332.61
841,831,0.40344,11.503
851,831,0.29294,24.164
861,841,0.49025,24.531
871,821,0.50287,54.473
